,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,pca1,pca2
29,datsun pl510,27.0,4,97.0,88,2130,14.5,71,Japan,-0.33466324235049827,0.402925341528797
30,chevrolet vega 2300,28.0,4,140.0,90,2264,15.5,71,US,-0.16300503750726061,0.47242856594991195
31,toyota corona,25.0,4,113.0,95,2228,14.0,71,Japan,-0.154841032499816,0.363185830417731
32,amc gremlin,19.0,6,232.0,100,2634,13.0,71,US,0.14342718553322198,0.5612467248827834
33,plymouth satellite custom,16.0,6,225.0,105,3439,15.5,71,US,0.32358102024673974,0.5828350197007395
34,chevrolet chevelle malibu,17.0,6,250.0,100,3329,15.5,71,US,0.201521697503403,0.18152831898380167
35,ford torino 500,19.0,6,250.0,88,3302,15.5,71,US,0.23975125927450291,0.5496312890043129
36,amc matador,18.0,6,232.0,100,3288,15.5,71,US,0.3670229812505712,0.41909084682647363
37,chevrolet impala,14.0,8,350.0,165,4209,12.0,71,US,1.0501214940306103,0.23632760993047164
38,pontiac catalina brougham,14.0,8,400.0,175,4464,11.5,71,US,1.0495319262120528,0.01619621126915584
39,ford galaxie 500,14.0,8,351.0,153,4154,13.5,71,US,0.7607276148361302,0.013972610268133623
40,plymouth fury iii,14.0,8,318.0,150,4096,13.0,71,US,0.8126984148514788,0.07422834197570341
41,dodge monaco (sw),12.0,8,383.0,180,4955,11.5,71,US,1.0553763917700887,0.13728705858566734
42,ford country squire (sw),13.0,8,400.0,170,4746,12.0,71,US,0.9970616148920526,0.16807899507618837
43,pontiac safari (sw),13.0,8,400.0,175,5140,12.0,71,US,1.0954112163833845,0.02212029072010195
44,amc hornet sportabout (sw),18.0,6,258.0,110,2962,13.5,71,US,0.4298077185502659,0.27832651959294025
45,chevrolet vega (sw),22.0,4,140.0,72,2408,19.0,71,US,-0.37890476469941486,0.36093474279901155
46,pontiac firebird,19.0,6,250.0,100,3282,15.0,71,US,0.170382831452654,0.283017072898091
47,ford mustang,18.0,6,250.0,88,3139,14.5,71,US,0.36994124161202757,0.4938392084070298
48,mercury capri 2000,23.0,4,122.0,86,2220,14.0,71,US,-0.14468276704740315,0.36250156582216625
49,opel 1900,28.0,4,116.0,90,2123,14.0,71,Europe,-0.23211658387297676,0.6925210333101106
50,peugeot 304,30.0,4,79.0,70,2074,19.5,71,Europe,-0.5266353774958528,0.3205252494746518
51,fiat 124b,30.0,4,88.0,76,2065,14.5,71,Europe,-0.3746012417678757,0.48779265318314907
52,toyota corolla 1200,31.0,4,71.0,65,1773,19.0,71,Japan,-0.459335545451677,0.39105644940348977
53,datsun 1200,35.0,4,72.0,69,1613,18.0,71,Japan,-0.5752110637278137,0.3541623067598026
54,volkswagen model 111,27.0,4,97.0,60,1834,19.0,71,Europe,-0.528437821989701,0.38431776622427366
55,plymouth cricket,26.0,4,91.0,70,1955,20.5,71,US,-0.47893400074620773,0.7112031665164892
56,toyota corona hardtop,24.0,4,113.0,95,2278,15.5,72,Japan,-0.3835688966461154,0.3840671767936939
57,dodge colt hardtop,25.0,4,97.5,80,2126,17.0,72,US,-0.45436173172390765,0.27857624511644713
58,volkswagen type 3,23.0,4,97.0,54,2254,23.5,72,Europe,-0.5197948532927343,0.6406115243144189
59,chevrolet vega,20.0,4,140.0,90,2408,19.5,72,US,-0.1314755463440606,0.3702944635303708
60,ford pinto runabout,21.0,4,122.0,86,2226,16.5,72,US,-0.1951114085075043,0.6972810564042324
61,chevrolet impala,13.0,8,350.0,165,4274,12.0,72,US,0.8325608832031685,-0.17043940752753645
62,pontiac catalina,14.0,8,400.0,175,4385,12.0,72,US,1.124506741411153,-0.010776748451364844
63,plymouth fury iii,15.0,8,318.0,150,4135,13.5,72,US,0.9178662970040956,-0.02296258810965837
64,ford galaxie 500,14.0,8,351.0,153,4129,13.0,72,US,0.9347773704434298,0.2662699829355514
65,amc ambassador sst,17.0,8,304.0,150,3672,11.5,72,US,0.9107263564624221,-0.06554943083178805
66,mercury marquis,11.0,8,429.0,208,4633,11.0,72,US,1.0924230923721892,-0.21549359400959417
67,buick lesabre custom,13.0,8,350.0,155,4502,13.5,72,US,0.7890320848011899,0.28224938273041345
68,oldsmobile delta 88 royale,12.0,8,350.0,160,4456,13.5,72,US,0.9248901368607378,-0.10189644125670815
69,chrysler newport royal,13.0,8,400.0,190,4422,12.5,72,US,0.9346089987664414,0.1521480828915704
70,mazda rx2 coupe,19.0,3,70.0,97,2330,13.5,72,Japan,-0.4581170672229445,0.29804394078864266
71,amc matador (sw),15.0,8,304.0,150,3892,12.5,72,US,0.9169428134852532,0.14822723606217644
72,chevrolet chevelle concours (sw),13.0,8,307.0,130,4098,14.0,72,US,0.687651190204314,-0.01059166371949459
73,ford gran torino (sw),13.0,8,302.0,140,4294,16.0,72,US,0.9434762942353012,0.24204776420791113
74,plymouth satellite custom (sw),14.0,8,318.0,150,4077,14.0,72,US,0.9111859381360777,0.2949460362265093
75,volvo 145e (sw),18.0,4,121.0,112,2933,14.5,72,Europe,-0.1048485511337151,0.3215199732408123
76,volkswagen 411 (sw),22.0,4,121.0,76,2511,18.0,72,Europe,-0.2595125382539051,0.27075922051352064
77,peugeot 504 (sw),21.0,4,120.0,87,2979,19.5,72,Europe,-0.0901133660624431,0.21000061794327168
78,renault 12 (sw),26.0,4,96.0,69,2189,18.0,72,Europe,-0.4787308205391353,0.5258936325136082
79,ford pinto (sw),22.0,4,122.0,86,2395,16.0,72,US,-0.1934091076245844,0.5450203910900215
80,datsun 510 (sw),28.0,4,97.0,92,2288,17.0,72,Japan,-0.25143829040247156,0.5607415799662887
81,toyouta corona mark ii (sw),23.0,4,120.0,97,2506,14.5,72,Japan,-0.23640719723328196,0.23334686193403226
82,dodge colt (sw),28.0,4,98.0,80,2164,15.0,72,US,-0.33544518488141406,0.4816595112117907
83,toyota corolla 1600 (sw),27.0,4,97.0,88,2100,16.5,72,Japan,-0.4156156207541602,0.5630074924797848
84,buick century 350,13.0,8,350.0,175,4100,13.0,73,US,0.8155476288670549,0.20444826357846907
85,amc matador,14.0,8,304.0,150,3672,11.5,73,US,0.6988121815438235,0.023398165580457896
86,chevrolet malibu,13.0,8,350.0,145,3988,13.0,73,US,0.9857136450035273,-0.053037604305524566
87,ford gran torino,14.0,8,302.0,137,4042,14.5,73,US,0.6590011989790174,-0.15422333465672555
88,dodge coronet custom,15.0,8,318.0,150,3777,12.5,73,US,0.8179450553287205,-0.047298842434621804
89,mercury marquis brougham,12.0,8,429.0,198,4952,11.5,73,US,1.0372319847308868,-0.32688157839134135
90,chevrolet caprice classic,13.0,8,400.0,150,4464,12.0,73,US,0.9429903852419058,-0.07559606044937342
91,ford ltd,13.0,8,351.0,158,4363,13.0,73,US,0.7902202622052686,-0.09793334633887843
92,plymouth fury gran sedan,14.0,8,318.0,150,4237,14.5,73,US,0.9124458004286962,0.011803647870492387
93,chrysler new yorker brougham,13.0,8,440.0,215,4735,11.0,73,US,1.074636851540352,0.14615673033540777
94,buick electra 225 custom,12.0,8,455.0,225,4951,11.0,73,US,1.2117040457625814,0.11241242063551286
95,amc ambassador brougham,13.0,8,360.0,175,3821,11.0,73,US,0.9472110745562861,0.19866323341118977
96,plymouth valiant,18.0,6,225.0,105,3121,16.5,73,US,0.1420564375012851,0.16912222857312487
97,chevrolet nova custom,16.0,6,250.0,100,3278,18.0,73,US,0.3361480390856222,0.23753339041694552
98,amc hornet,18.0,6,232.0,100,2945,16.0,73,US,0.33640461434997887,0.4475024596432705
99,ford maverick,18.0,6,250.0,88,3021,16.5,73,US,0.31500983781844505,0.4237331146970996
100,plymouth duster,23.0,6,198.0,95,2904,16.0,73,US,0.08867845951179973,0.24898021116713187
101,volkswagen super beetle,26.0,4,97.0,46,1950,21.0,73,Europe,-0.5422173383680564,0.1619759957876611
102,chevrolet impala,11.0,8,400.0,150,4997,14.0,73,US,0.9539622472755824,-0.30291224676254663
103,ford country,12.0,8,400.0,167,4906,12.5,73,US,1.1405227190704652,0.07066200014590958
104,plymouth custom suburb,13.0,8,360.0,170,4654,13.0,73,US,0.9236255069763202,0.12781891194971934
105,oldsmobile vista cruiser,12.0,8,350.0,180,4499,12.5,73,US,1.0521080163596572,-0.2356753807049977
106,amc gremlin,18.0,6,232.0,100,2789,15.0,73,US,0.3135450801095815,0.27725177240478666
107,toyota carina,20.0,4,97.0,88,2279,19.0,73,Japan,-0.41235384298875055,0.480900019459569
108,chevrolet vega,21.0,4,140.0,72,2401,19.5,73,US,-0.30180382496848235,0.3972907519629349
109,datsun 610,22.0,4,108.0,94,2379,16.5,73,Japan,-0.22911916768900317,0.1961843104142716
110,maxda rx3,18.0,3,70.0,90,2124,13.5,73,Japan,-0.2844439796389171,0.41272905758800976
111,ford pinto,19.0,4,122.0,85,2310,18.5,73,US,-0.21731430333806945,0.3933312464166828
112,mercury capri v6,21.0,6,155.0,107,2472,14.0,73,US,0.11952370511146258,0.06973243586669026
113,fiat 124 sport coupe,26.0,4,98.0,90,2265,15.5,73,Europe,-0.2720273456078544,0.2246277347422167
114,chevrolet monte carlo s,15.0,8,350.0,145,4082,13.0,73,US,0.8584530679397786,-0.16193323076138735
115,pontiac grand prix,16.0,8,400.0,230,4278,9.5,73,US,1.1569975174156135,-0.15782723988204228
116,fiat 128,29.0,4,68.0,49,1867,19.5,73,Europe,-0.6124508477306365,0.4973153117413361
117,opel manta,24.0,4,116.0,75,2158,15.5,73,Europe,-0.2496285059201298,0.6034997229134145
118,audi 100ls,20.0,4,114.0,91,2582,14.0,73,Europe,-0.15928489384395003,0.43414376327298887
119,volvo 144ea,19.0,4,121.0,112,2868,15.5,73,Europe,0.003075263559978142,0.5908736515586379
120,dodge dart custom,15.0,8,318.0,150,3399,11.0,73,US,0.8150680739157518,-0.06809266875850657
121,saab 99le,24.0,4,121.0,110,2660,14.0,73,Europe,-0.1257904748798191,0.13685602470404507
122,toyota mark ii,20.0,6,156.0,122,2807,13.5,73,Japan,0.08017768605732446,0.10642345457328409
123,oldsmobile omega,11.0,8,350.0,180,3664,11.0,73,US,1.054888207572575,-0.10230723159175911
124,plymouth duster,20.0,6,198.0,95,3102,16.5,74,US,0.20134412253016,-0.024736601991006496
125,amc hornet,19.0,6,232.0,100,2901,16.0,74,US,0.15465573637668661,-0.11066227089185537
126,chevrolet nova,15.0,6,250.0,100,3336,17.0,74,US,0.13484991712765296,0.28907860634421234
127,datsun b210,31.0,4,79.0,67,1950,19.0,74,Japan,-0.4156765388869357,0.2204272375424851
128,ford pinto,26.0,4,122.0,80,2451,16.5,74,US,-0.23922015635202282,0.07735799995192288
129,toyota corolla 1200,32.0,4,71.0,65,1836,21.0,74,Japan,-0.5019661812728428,0.3696952784482069
130,chevrolet vega,25.0,4,140.0,75,2542,17.0,74,US,-0.44018446062143646,0.3550864133264009
131,chevrolet chevelle malibu classic,16.0,6,250.0,100,3781,17.0,74,US,0.3942997013241959,-0.138966730602834
132,amc matador,16.0,6,258.0,110,3632,18.0,74,US,0.16419125054137082,0.03133759944831681
133,plymouth satellite sebring,18.0,6,225.0,105,3613,16.5,74,US,0.26672334081291504,-0.11213609733044705
134,ford gran torino,16.0,8,302.0,140,4141,14.0,74,US,0.8774837092957486,-0.26780135703798114
135,buick century luxus (sw),13.0,8,350.0,150,4699,14.5,74,US,0.7724213518718902,0.0710611358118349
136,dodge coronet custom (sw),14.0,8,318.0,150,4457,13.5,74,US,0.8637437945147359,-0.1057813711907963
137,ford gran torino (sw),14.0,8,302.0,140,4638,16.0,74,US,0.9134686534889818,-0.019876834294313223
138,amc matador (sw),14.0,8,304.0,150,4257,15.5,74,US,0.8616748071072914,-0.24714611524667476
139,audi fox,29.0,4,98.0,83,2219,16.5,74,Europe,-0.45452587624179225,0.11373663554577779
140,volkswagen dasher,26.0,4,79.0,67,1963,15.5,74,Europe,-0.49266584164422955,0.5629033773015344
141,opel manta,26.0,4,97.0,78,2300,14.5,74,Europe,-0.2613607490021982,0.10917884876733713
142,toyota corona,31.0,4,76.0,52,1649,16.5,74,Japan,-0.6622737706187904,0.38180993683961734
143,datsun 710,32.0,4,83.0,61,2003,19.0,74,Japan,-0.48193894727332,0.36224245203843347
144,dodge colt,28.0,4,90.0,75,2125,14.5,74,US,-0.31891994611200014,0.24492641941460414
145,fiat 128,24.0,4,90.0,75,2108,15.5,74,Europe,-0.3081295713840604,0.48400534564054687
146,fiat 124 tc,26.0,4,116.0,75,2246,14.0,74,Europe,-0.35263146393280204,0.21928933587248622
147,honda civic,24.0,4,120.0,97,2489,15.0,74,Japan,-0.31063464752897657,0.13764025512001943
148,subaru,26.0,4,108.0,93,2391,15.5,74,Japan,-0.37043879585421174,0.11840450170185957
149,fiat x1.9,31.0,4,79.0,67,2000,16.0,74,Europe,-0.39389266345577,0.3067348613743023
150,plymouth valiant custom,19.0,6,225.0,95,3264,16.0,75,US,0.19354716151188817,-0.02252884581875511
151,chevrolet nova,18.0,6,250.0,105,3459,16.0,75,US,0.18300884463668055,0.20045412237358767
152,mercury monarch,15.0,6,250.0,72,3432,21.0,75,US,0.20116433988403162,0.0020945760216401973
153,ford maverick,15.0,6,250.0,72,3158,19.5,75,US,0.07654730738820693,0.0578251801668772
154,pontiac catalina,16.0,8,400.0,170,4668,11.5,75,US,1.0193027546179976,-0.39956115071626896
155,chevrolet bel air,15.0,8,350.0,145,4440,14.0,75,US,0.9046225536097676,-0.3970672357928632
156,plymouth grand fury,16.0,8,318.0,150,4498,14.5,75,US,0.78055635253158,0.06926706953006942
157,ford ltd,14.0,8,351.0,148,4657,13.5,75,US,0.9094717967934896,-0.1298841379121291
158,buick century,17.0,6,231.0,110,3907,21.0,75,US,0.3556472933997415,-0.13156774627491755
159,chevroelt chevelle malibu,16.0,6,250.0,105,3897,18.5,75,US,0.1699752255597775,0.1337023189256268
160,amc matador,15.0,6,258.0,110,3730,19.0,75,US,0.17733550073685944,0.07837589882930639
161,plymouth fury,18.0,6,225.0,95,3785,19.0,75,US,0.27340688320989165,-0.15954185823671138
162,buick skyhawk,21.0,6,231.0,110,3039,15.0,75,US,0.3077943913532288,0.18763490510923045
163,chevrolet monza 2+2,20.0,8,262.0,110,3221,13.5,75,US,0.4838255202690336,-0.024801137927520034
164,ford mustang ii,13.0,8,302.0,129,3169,12.0,75,US,0.5325197085539393,0.06633040011044296
165,toyota corolla,29.0,4,97.0,75,2171,16.0,75,Japan,-0.3588149962181312,0.07476532701868746
166,ford pinto,23.0,4,140.0,83,2639,17.0,75,US,-0.19487391474940363,0.28942036455875064
167,amc gremlin,20.0,6,232.0,100,2914,16.0,75,US,0.148920711991228,0.21099383251328752
168,pontiac astro,23.0,4,140.0,78,2592,18.5,75,US,-0.2748873323120916,0.1297513897416609
169,toyota corona,24.0,4,134.0,96,2702,13.5,75,Japan,-0.0933895716921252,-0.023413418364419014
170,volkswagen dasher,25.0,4,90.0,71,2223,16.5,75,Europe,-0.36501302050815987,0.31563947934790365
171,datsun 710,24.0,4,119.0,97,2545,17.0,75,Japan,-0.21631695640125911,0.4145724474182314
172,ford pinto,18.0,6,171.0,97,2984,14.5,75,US,0.119837230077597,0.21785819261621106
173,volkswagen rabbit,29.0,4,90.0,70,1937,14.0,75,Europe,-0.34099827115253256,0.11496793827381896
174,amc pacer,19.0,6,232.0,90,3211,17.0,75,US,0.008771028073259302,0.20691924096551434
175,audi 100ls,23.0,4,115.0,95,2694,15.0,75,Europe,-0.17193805738972476,0.42514489954301166
176,peugeot 504,23.0,4,120.0,88,2957,17.0,75,Europe,-0.39517522173076425,0.07053827954106082
177,volvo 244dl,22.0,4,121.0,98,2945,14.5,75,Europe,-0.08749100530357287,0.4087467588408502
178,saab 99le,25.0,4,121.0,115,2671,13.5,75,Europe,-0.3383330584296478,0.03310019671392814
179,honda civic cvcc,33.0,4,91.0,53,1795,17.5,75,Japan,-0.6871574828072731,0.41704220021853455
180,fiat 131,28.0,4,107.0,86,2464,15.5,76,Europe,-0.3129601131077294,0.24326053623165475
181,opel 1900,25.0,4,116.0,81,2220,16.9,76,Europe,-0.43708916002257875,0.24508968336066514
182,capri ii,25.0,4,140.0,92,2572,14.9,76,US,-0.2802420642306132,0.23789297466533096
183,dodge colt,26.0,4,98.0,79,2255,17.7,76,US,-0.368830524951927,0.33509647906932216
184,renault 12tl,27.0,4,101.0,83,2202,15.3,76,Europe,-0.4225933202158905,-0.07551842890831936
185,chevrolet chevelle malibu classic,17.5,8,305.0,140,4215,13.0,76,US,0.8015434347406278,-0.2660231472645458
186,dodge coronet brougham,16.0,8,318.0,150,4190,13.0,76,US,0.7285421695174499,-0.15859698463325012
187,amc matador,15.5,8,304.0,120,3962,13.9,76,US,0.5765599963234568,-0.4460260471812822
188,ford gran torino,14.5,8,351.0,152,4215,12.8,76,US,0.6909206480407936,-0.47798769318625384
189,plymouth valiant,22.0,6,225.0,100,3233,15.4,76,US,0.27199046403378785,-0.06226490976584081
190,chevrolet nova,22.0,6,250.0,105,3353,14.5,76,US,0.14222693344569262,-0.08061335639412408
191,ford maverick,24.0,6,200.0,81,3012,17.6,76,US,-0.11361772689985698,-0.011808903077972197
192,amc hornet,22.5,6,232.0,90,3085,17.6,76,US,0.09633768131016203,-0.0868265666417043
193,chevrolet chevette,29.0,4,85.0,52,2035,22.2,76,US,-0.7372725002412932,0.19907400277460957
194,chevrolet woody,24.5,4,98.0,60,2164,22.1,76,US,-0.44379070247502417,0.3343451098898744
195,vw rabbit,29.0,4,90.0,70,1937,14.2,76,Europe,-0.36001759558554935,0.23359026685855497
196,honda civic,33.0,4,91.0,53,1795,17.4,76,Japan,-0.6949672373475699,0.23510794538138746
197,dodge aspen se,20.0,6,225.0,100,3651,17.7,76,US,0.31551813341447077,0.15317914344922332
198,ford granada ghia,18.0,6,250.0,78,3574,21.0,76,US,0.2594444771868104,-0.17899422939457055
199,pontiac ventura sj,18.5,6,250.0,110,3645,16.2,76,US,0.3642128924600377,0.14206675366590013
200,amc pacer d/l,17.5,6,258.0,95,3193,17.8,76,US,0.26792446378391016,0.1141923638636806
201,volkswagen rabbit,29.5,4,97.0,71,1825,12.2,76,Europe,-0.3476065074697504,0.32015995768209315
202,datsun b-210,32.0,4,85.0,70,1990,17.0,76,Japan,-0.4479973825783965,0.13213292598598744
203,toyota corolla,28.0,4,97.0,75,2155,16.4,76,Japan,-0.5365549680447906,-0.06789563368014354
204,ford pinto,26.5,4,140.0,72,2565,13.6,76,US,-0.280594020830323,0.33742603515884007
205,volvo 245,20.0,4,130.0,102,3150,15.7,76,Europe,-0.05823017135652908,0.23021123458315262
206,plymouth volare premier v8,13.0,8,318.0,150,3940,13.2,76,US,0.8736179347506572,-0.45508507973901036
207,peugeot 504,19.0,4,120.0,88,3270,21.9,76,Europe,-0.25757234941856766,0.28674231213682577
208,toyota mark ii,19.0,6,156.0,108,2930,15.5,76,Japan,0.07863751494561706,-0.1460923905505631
209,mercedes-benz 280s,16.5,6,168.0,120,3820,16.7,76,Europe,0.29769089157922446,-0.16341753189559485
210,cadillac seville,16.5,8,350.0,180,4380,12.1,76,US,0.8291030758591672,-0.08314670843834593
211,chevy c10,13.0,8,350.0,145,4055,12.0,76,US,0.916465458332635,-0.36296691327832514
212,ford f108,13.0,8,302.0,130,3870,15.0,76,US,0.6626715717476613,-0.04815003651789179
213,dodge d100,13.0,8,318.0,150,3755,14.0,76,US,0.7766262235109134,-0.14908175186933376
214,honda accord cvcc,31.5,4,98.0,68,2045,18.5,77,Japan,-0.5166662815268716,0.04004728179617201
215,buick opel isuzu deluxe,30.0,4,111.0,80,2155,14.8,77,US,-0.534079145549291,0.034435534858297534
216,renault 5 gtl,36.0,4,79.0,58,1825,18.6,77,Europe,-0.6273206285737618,0.12162904130610373
217,plymouth arrow gs,25.5,4,122.0,96,2300,15.5,77,US,-0.3022832738947201,0.18714518825909668
218,datsun f-10 hatchback,33.5,4,85.0,70,1945,16.8,77,Japan,-0.7083858182592008,-0.12736045665029166
219,chevrolet caprice classic,17.5,8,305.0,145,3880,12.5,77,US,0.7071489764708747,-0.31956256590457954
220,oldsmobile cutlass supreme,17.0,8,260.0,110,4060,19.0,77,US,0.48520166431052547,-0.3524003444736407
221,dodge monaco brougham,15.5,8,318.0,145,4140,13.7,77,US,0.8031584126622865,-0.3776887791455675
222,mercury cougar brougham,15.0,8,302.0,130,4295,14.9,77,US,0.5167133829672227,-0.2102527686533383
223,chevrolet concours,17.5,6,250.0,110,3520,16.4,77,US,0.25715124775427567,-0.19785760797801252
224,buick skylark,20.5,6,231.0,105,3425,16.9,77,US,0.18590506401606202,0.06603692103698561
225,plymouth volare custom,19.0,6,225.0,100,3630,17.7,77,US,0.06356573660839468,-0.07851420051359653
226,ford granada,18.5,6,250.0,98,3525,19.0,77,US,0.27505651363702666,-0.17464259090458015
227,pontiac grand prix lj,16.0,8,400.0,180,4220,11.1,77,US,0.7617345488062002,-0.5903726010034305
228,chevrolet monte carlo landau,15.5,8,350.0,170,4165,11.4,77,US,0.7680369090390323,-0.3716814707771204
229,chrysler cordoba,15.5,8,400.0,190,4325,12.2,77,US,1.0041974446990327,-0.15755677764465897
230,ford thunderbird,16.0,8,351.0,149,4335,14.5,77,US,0.8950605361071644,-0.3527145218896953
231,volkswagen rabbit custom,29.0,4,97.0,78,1940,14.5,77,Europe,-0.5082735546199881,0.09992660210186713
232,pontiac sunbird coupe,24.5,4,151.0,88,2740,16.0,77,US,-0.18028548046178886,0.11680823630103948
233,toyota corolla liftback,26.0,4,97.0,75,2265,18.2,77,Japan,-0.3915767616313298,0.16467382454861296
234,ford mustang ii 2+2,25.5,4,140.0,89,2755,15.8,77,US,-0.43005412221511413,-0.1199237373571677
235,chevrolet chevette,30.5,4,98.0,63,2051,17.0,77,US,-0.6779147157320645,0.03301918427410372
236,dodge colt m/m,33.5,4,98.0,83,2075,15.9,77,US,-0.5643831756936235,0.238844563911519
237,subaru dl,30.0,4,97.0,67,1985,16.4,77,Japan,-0.5840751937440747,0.2731060748616959
238,volkswagen dasher,30.5,4,97.0,78,2190,14.1,77,Europe,-0.6171709917778359,0.22499519625102882
239,datsun 810,22.0,6,146.0,97,2815,14.5,77,Japan,-0.060228671167889165,-0.21006558109055162
240,bmw 320i,21.5,4,121.0,110,2600,12.8,77,Europe,-0.23186929426646732,0.001750360224850117
241,mazda rx-4,21.5,3,80.0,110,2720,13.5,77,Japan,-0.4185517416320057,0.01991599265083019
242,volkswagen rabbit custom diesel,43.1,4,90.0,48,1985,21.5,78,Europe,-0.7372563658224437,0.14340169185981286
243,ford fiesta,36.1,4,98.0,66,1800,14.4,78,US,-0.7097727030920651,-0.22805684622422348
244,mazda glc deluxe,32.8,4,78.0,52,1985,19.4,78,Japan,-0.7552693557688183,-0.23897278499781227
245,datsun b210 gx,39.4,4,85.0,70,2070,18.6,78,Japan,-0.5196382199584523,0.009878003764530331
246,honda civic cvcc,36.1,4,91.0,60,1800,16.4,78,Japan,-0.7004585099096087,-0.06352524787604742
247,oldsmobile cutlass salon brougham,19.9,8,260.0,110,3365,15.5,78,US,0.3847559495860867,-0.2059630338182723
248,dodge diplomat,19.4,8,318.0,140,3735,13.2,78,US,0.6409452053831881,-0.6024965281470773
249,mercury monarch ghia,20.2,8,302.0,139,3570,12.8,78,US,0.6629383165710693,-0.26561441622313414
250,pontiac phoenix lj,19.2,6,231.0,105,3535,19.2,78,US,0.10812011862062451,-0.08908700672735301
251,chevrolet malibu,20.5,6,200.0,95,3155,18.2,78,US,0.07412341210184449,-0.01111788929972693
252,ford fairmont (auto),20.2,6,200.0,85,2965,15.8,78,US,-0.01810875538479545,-0.11748290113575086
253,ford fairmont (man),25.1,4,140.0,88,2720,15.4,78,US,-0.36710006132902784,0.11231973576107898
254,plymouth volare,20.5,6,225.0,100,3430,17.2,78,US,-0.019823128756521063,-0.43957969152432297
255,amc concord,19.4,6,232.0,90,3210,17.2,78,US,-0.05434091428811856,-0.09874285231829108
256,buick century special,20.6,6,231.0,105,3380,15.8,78,US,0.24610499636231625,-0.03468683397318595
257,mercury zephyr,20.8,6,200.0,85,3070,16.7,78,US,0.052868439509032625,-0.005816032924791686
258,dodge aspen,18.6,6,225.0,110,3620,18.7,78,US,0.2319833623530886,-0.18350461997685139
259,amc concord d/l,18.1,6,258.0,120,3410,15.1,78,US,0.2843613704642035,-0.4072076429850607
260,chevrolet monte carlo landau,19.2,8,305.0,145,3425,13.2,78,US,0.6053662310117526,-0.37094770507945823
261,buick regal sport coupe (turbo),17.7,6,231.0,165,3445,13.4,78,US,0.3017587206007418,-0.08323825344490837
262,ford futura,18.1,8,302.0,139,3205,11.2,78,US,0.6756347931106353,-0.5213832576158965
